mr,text,errors,incorrect,duplicate,mr_len,SACC
"confirm(name[We Are the World], producer[Michael Omartian])"," Are you referring to the song We Are the World, produced by Michael Omartian?",0,,,2,100.0
"confirm(name[Apple Shampoo], instance_of[musical work/composition])",Are you referring to the musical work/composition of Apple Shampoo?,0,,,2,100.0
"confirm(name[Style], is_from_album[true])"," Are you referring to Style, the song from an album?",1,is_from_album,,2,50.0
"confirm(name[Get Up!], performer[Skrillex, Korn])"," Are you referring to the song Get Up!, by Skrillex and Korn?",1,performer,,2,50.0
"confirm(name[Wanna Get to Know You], performer[Joe, G-Unit])",Are you referring to the song Wanna Get to Know You by Joe and G-Unit?,1,performer,,2,50.0
"confirm(name[Seven Nation Army], producer[Jack White])",Are you referring to the song Seven Nation Army produced by Jack White?,0,,,2,100.0
"confirm(name[Kings of the Wild Frontier], publication_year[1980])",Are you referring to the song Kings of the Wild Frontier released in 1980?,0,,,2,100.0
"confirm(name[We Are the World], is_from_album[True])",Are you talking about We Are the World from an album?,1,is_from_album,,2,50.0
"confirm(name[Afterlife], producer[James Murphy])",Are you referring to the song Afterlife by James Murphy?,0,,,2,100.0
"confirm(name[Break My Soul], genres[house music])"," Are you talking about the house music song, Break My Soul?",0,,,2,100.0
"confirm(name[Somebody That I Used to Know], performer[Gotye, Kimbra])"," Are you referring to ""Somebody That I Used to Know"" by Gotye and Kimbra?",1,performer,,2,50.0
"confirm(name[Marilyn Monroe], producer[Pharrell Williams])",Are you referring to the song Marilyn Monroe produced by Pharrell Williams?,0,,,2,100.0
"confirm(name[So Good], genres[pop rap])",Are you referring to the pop rap song So Good?,0,,,2,100.0
"confirm(name[Careless Whisper], is_from_album[True])"," Are you referring to Careless Whisper, which is from an album?",1,is_from_album,,2,50.0
"confirm(name[Mad Love], genres[electropop])",Are you referring to the electropop song Mad Love?,0,,,2,100.0
"confirm(name[Space Oddity], genres[space rock])",Are you talking about the Space Oddity space rock song?,0,,,2,100.0
"confirm(name[Right Here, Right Now], from_album[Déjà Vu])"," Are you referring to Right Here, Right Now from the album Déjà Vu?",0,,,2,100.0
