,Unnamed: 0.1,Unnamed: 0,index,test_pseudo_utt,pseudo_mr,da,text,word_count,num_hops,num_triples,shape,LM_prob,PPL,pseudo_bleu,scores,pred,criteria
0,3,3,0,"Afrikan Tähti Roll-And-Move 2 African Star, Diamond Hunt 1951 6 Board Game Simple","Afrikan tähti genre roll-and-move. Afrikan tähti minimum number of players 2. Afrikan tähti alternate names African Star, Diamond Hunt. Afrikan tähti publication year 1951. Afrikan tähti maximum number of players 6. Afrikan tähti instance of board game. Afrikan tähti complexity rating simple. Afrikan tähti domain board game.",inform," Afrikan tähti, also known as African Star or Diamond Hunt, is a 1951 roll-and-move board game for 2 to 6 players with a simple complexity rating.",26,1,8,(X (X) (X) (X) (X) (X) (X) (X) (X)),0.01036998698,96.43213654,2.627070375,0.67982465,inform,match_scores_PPL
1,16,16,1,Monopoly Poor Resource Management Roll-And-Move,Monopoly average rating poor. Monopoly game mechanics resource management. Monopoly genre roll-and-move. Monopoly domain board game.,verify_attribute,You didn't like Monopoly. Do you usually find roll-and-move games with resource management mechanics boring?,15,1,4,(X (X) (X) (X) (X)),0.01078942624,92.68333435,5.045777124,0.644215,verify_attribute,match_scores
2,21,21,2,Carcassonne German-Style Board Game Good 45 Moderate 2000 Carcassonne Jubilee Edition Germany,Carcassonne genre German-style board game. Carcassonne average rating good. Carcassonne maximum playing time 45. Carcassonne complexity rating moderate. Carcassonne publication year 2000. Carcassonne alternate names Carcassonne Jubilee Edition. Carcassonne country of origin Germany. Carcassonne domain board game.,inform," Carcassonne Jubilee Edition, also known as Carcassonne, is a moderate German-style board game from 2000 with a good rating. It can be played in up to 45 minutes.",28,1,8,(X (X) (X) (X) (X) (X) (X) (X) (X)),0.03501707681,28.55749512,5.978705237,0.7593142,inform,match_scores
3,39,39,3,Betrayal At House On The Hill Cooperative Board Game 60 Hasbro 3 Bruce Glassco 2004 Complex,Betrayal at House on the Hill genre cooperative board game. Betrayal at House on the Hill minimum playing time 60. Betrayal at House on the Hill publisher Hasbro. Betrayal at House on the Hill minimum number of players 3. Betrayal at House on the Hill developer Bruce Glassco. Betrayal at House on the Hill publication year 2004. Betrayal at House on the Hill complexity rating complex. Betrayal at House on the Hill domain board game.,inform,Betrayal at House on the Hill is a complex cooperative board game developed by Bruce Glassco for Hasbro in 2004. It requires at least 3 players and a minimum playing time of 60 minutes.,34,1,8,(X (X) (X) (X) (X) (X) (X) (X) (X)),0.01848288135,54.10411835,6.525783836,0.6609476,inform,match_scores
4,47,47,4,Twilight Struggle Gmt Games,Twilight Struggle publisher GMT Games. Twilight Struggle domain board game.,suggest," Have you ever played a board game published by GMT Games, like Twilight Struggle?",14,1,2,(X (X) (X)),0.01418876562,70.47829437,8.471785908,0.8111317,suggest,match_scores_PPL
5,53,53,5,Betrayal At House On The Hill,Betrayal at House on the Hill domain board game.,suggest,Have you ever played a board game like Betrayal at House on the Hill?,14,1,1,(X (X)),0.03451639339,28.97174072,36.41410562,0.790113,suggest,match_scores_PPL
6,64,64,6,Punaisten Ja Valkoisten Taistelu Suomessa 1918 Wargame Poor 1918 2 2 Board Game,Punaisten ja valkoisten taistelu Suomessa 1918 genre wargame. Punaisten ja valkoisten taistelu Suomessa 1918 average rating poor. Punaisten ja valkoisten taistelu Suomessa 1918 publication year 1918. Punaisten ja valkoisten taistelu Suomessa 1918 minimum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 maximum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 instance of board game. Punaisten ja valkoisten taistelu Suomessa 1918 domain board game.,inform,Punaisten ja valkoisten taistelu Suomessa 1918 is a 1918 wargame board game for 2 players with a poor rating.,19,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.00323035206,309.5637817,2.086337585,0.91099954,inform,match_scores
7,78,78,7,Dune Science Fiction 2 Avalon Hill Frank Herbert'S Dune 60 Board Game,Dune genre science fiction. Dune minimum number of players 2. Dune publisher Avalon Hill. Dune alternate names Frank Herberts Dune. Dune minimum playing time 60. Dune instance of board game. Dune domain board game.,inform," Frank Herberts Dune, also known as Dune, is a science fiction board game published by Avalon Hill. It requires a minimum of 2 players and 60 minutes.",27,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.03287893971,30.41460609,7.808098877,0.72832584,inform,match_scores
8,86,86,8,Scotland Yard Fanton Board Game,Scotland Yard alternate names Fanton. Scotland Yard instance of board game. Scotland Yard domain board game.,recommend," Have you ever heard of Scotland Yard, or its alternate name Fanton? It's a board game.",16,1,3,(X (X) (X) (X)),0.014880578,67.20169067,10.65728449,0.7678561,recommend,match_scores_PPL
9,94,94,9,Scotland Yard Average Deduction Game,Scotland Yard average rating average. Scotland Yard genre deduction game. Scotland Yard domain board game.,verify_attribute,You found Scotland Yard to be just average. Is this the same for other deduction board games?,17,1,3,(X (X) (X) (X)),0.003638788095,274.8167725,6.336859268,0.67627543,verify_attribute,match_scores
